Time [s]	p_1 [bar]	p_2 [bar]	T TestRig [°C]	h TestRig [%]	TT1 [°C]	TT2 [°C]	TT3 [°C]	TT4 [°C]	TT5 [°C]	TT6 [°C]	TT7 [°C]	TT8 [°C]	TT21 [°C]	TT22 [°C]	TT23 [°C]	TT24 [°C]	TT25 [°C]	TT26 [°C]	TT31 [°C]
0.000000	293.955592	298.237903	17.507366	67.610882	15.802125	15.981791	17.289865	16.736454	17.179805	16.252756	16.212324	16.171426	17.784786	17.644825	18.351202	15.786784	15.709610	15.845359	17.516920
0.100000	294.785114	298.849130	17.543497	67.571466	15.802125	15.981791	17.289865	16.736454	17.179805	16.252756	16.212324	16.171426	17.784786	17.644825	18.351202	15.786784	15.709610	15.845359	17.516920
0.200000	294.130228	298.237903	17.605904	67.574751	15.802125	15.981791	17.289865	16.736454	17.179805	16.252756	16.212324	16.171426	17.784786	17.644825	18.351202	15.786784	15.709610	15.845359	17.516920
0.300000	294.959750	299.023766	17.507366	67.505774	15.802125	15.981791	17.289865	16.736454	17.179805	16.252756	16.212324	16.171426	17.784786	17.644825	18.351202	15.786784	15.709610	15.845359	17.516920
0.400000	295.309022	298.019608	17.638751	67.922922	15.799478	15.973334	17.282810	16.730557	17.179483	16.265214	16.204101	16.172730	17.773555	17.648681	18.342296	15.774374	15.710450	15.843642	17.517754
0.500000	294.785114	298.630834	17.546781	67.670005	15.799478	15.973334	17.282810	16.730557	17.179483	16.265214	16.204101	16.172730	17.773555	17.648681	18.342296	15.774374	15.710450	15.843642	17.517754
0.600000	295.047068	298.587175	17.559920	68.044454	15.799478	15.973334	17.282810	16.730557	17.179483	16.265214	16.204101	16.172730	17.773555	17.648681	18.342296	15.774374	15.710450	15.843642	17.517754
0.700000	294.130228	298.237903	17.599335	67.390811	15.799478	15.973334	17.282810	16.730557	17.179483	16.265214	16.204101	16.172730	17.773555	17.648681	18.342296	15.774374	15.710450	15.843642	17.517754
0.800000	295.352681	298.063267	17.527074	67.949199	15.799478	15.973334	17.282810	16.730557	17.179483	16.265214	16.204101	16.172730	17.773555	17.648681	18.342296	15.774374	15.710450	15.843642	17.517754
0.900000	295.003409	298.325221	17.500797	67.581320	15.799478	15.973334	17.282810	16.730557	17.179483	16.265214	16.204101	16.172730	17.773555	17.648681	18.342296	15.774374	15.710450	15.843642	17.517754
1.000000	294.348523	298.237903	17.579627	67.486066	15.799478	15.973334	17.282810	16.730557	17.179483	16.265214	16.204101	16.172730	17.773555	17.648681	18.342296	15.774374	15.710450	15.843642	17.517754
1.100000	294.610477	298.237903	17.602620	67.397381	15.799478	15.973334	17.282810	16.730557	17.179483	16.265214	16.204101	16.172730	17.773555	17.648681	18.342296	15.774374	15.710450	15.843642	17.517754
1.200000	295.352681	298.237903	17.563204	67.650298	15.799478	15.973334	17.282810	16.730557	17.179483	16.265214	16.204101	16.172730	17.773555	17.648681	18.342296	15.774374	15.710450	15.843642	17.517754
1.300000	295.003409	297.757654	17.563204	67.844091	15.799478	15.973334	17.282810	16.730557	17.179483	16.265214	16.204101	16.172730	17.773555	17.648681	18.342296	15.774374	15.710450	15.843642	17.517754
1.400000	295.658294	299.242061	17.556635	67.440081	15.782826	15.979460	17.279875	16.736680	17.169117	16.251820	16.204649	16.181179	17.784083	17.645051	18.341916	15.777247	15.714718	15.837914	17.518116
1.500000	295.309022	298.499857	17.609189	67.745552	15.782826	15.979460	17.279875	16.736680	17.169117	16.251820	16.204649	16.181179	17.784083	17.645051	18.341916	15.777247	15.714718	15.837914	17.518116
1.600000	295.701953	297.626677	17.563204	67.893361	15.782826	15.979460	17.279875	16.736680	17.169117	16.251820	16.204649	16.181179	17.784083	17.645051	18.341916	15.777247	15.714718	15.837914	17.518116
1.700000	295.265363	297.452041	17.536927	67.647013	15.782826	15.979460	17.279875	16.736680	17.169117	16.251820	16.204649	16.181179	17.784083	17.645051	18.341916	15.777247	15.714718	15.837914	17.518116
1.800000	294.392182	297.495700	17.553350	67.880222	15.782826	15.979460	17.279875	16.736680	17.169117	16.251820	16.204649	16.181179	17.784083	17.645051	18.341916	15.777247	15.714718	15.837914	17.518116
1.900000	296.007566	298.849130	17.596051	67.679859	15.782826	15.979460	17.279875	16.736680	17.169117	16.251820	16.204649	16.181179	17.784083	17.645051	18.341916	15.777247	15.714718	15.837914	17.518116
2.000000	294.479500	298.543516	17.540212	67.650298	15.782826	15.979460	17.279875	16.736680	17.169117	16.251820	16.204649	16.181179	17.784083	17.645051	18.341916	15.777247	15.714718	15.837914	17.518116
2.100000	295.003409	298.892789	17.546781	67.633874	15.782826	15.979460	17.279875	16.736680	17.169117	16.251820	16.204649	16.181179	17.784083	17.645051	18.341916	15.777247	15.714718	15.837914	17.518116
2.200000	293.868274	297.277405	17.527074	67.686429	15.782826	15.979460	17.279875	16.736680	17.169117	16.251820	16.204649	16.181179	17.784083	17.645051	18.341916	15.777247	15.714718	15.837914	17.518116
2.300000	295.221704	299.067425	17.530358	67.676575	15.782826	15.979460	17.279875	16.736680	17.169117	16.251820	16.204649	16.181179	17.784083	17.645051	18.341916	15.777247	15.714718	15.837914	17.518116
